City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Svetlaya,RU,46.5389,138.3297,32.43,63,1,6.24,clear sky
324,Plettenberg Bay,ZA,-34.0527,23.3716,66.13,83,9,6.17,clear sky
325,Naifaru,MV,5.4444,73.3657,84.2,69,54,13.42,broken clouds
326,Samarai,PG,-10.6167,150.6667,82.09,77,99,4.14,overcast clouds
327,Codrington,AU,-38.2667,141.9667,57.85,67,87,8.16,overcast clouds
328,Lyngdal,NO,58.1376,7.07,44.01,85,99,32.01,light rain
329,Port Elizabeth,ZA,-33.918,25.5701,66.2,82,20,21.85,few clouds
330,Teya,RU,60.3778,92.6267,32.99,97,100,6.04,overcast clouds
331,Cam Ranh,VN,11.9214,109.1591,78.8,83,20,10.36,few clouds
332,Price,US,39.5994,-110.8107,64.4,19,1,9.22,clear sky
333,Kazachinskoye,RU,57.6953,93.2761,32.61,98,100,2.73,overcast clouds
334,Macas,EC,-2.3167,-78.1167,64.4,100,90,11.5,moderate rain
335,Touros,BR,-5.1989,-35.4608,77.0,94,40,16.11,scattered clouds
336,Bajil,YE,15.0584,43.2851,81.55,61,5,7.54,clear sky
337,Fukue,JP,32.6881,128.8419,56.07,74,96,30.4,overcast clouds
338,Hobyo,SO,5.3505,48.5268,83.3,66,62,13.65,broken clouds
339,Camiri,BO,-20.05,-63.5167,80.6,65,75,4.61,broken clouds
340,Saint-Joseph,RE,-21.3667,55.6167,78.8,78,0,4.61,clear sky
341,Talnakh,RU,69.4865,88.3972,7.32,77,99,10.96,overcast clouds
342,Bonfim,BR,3.0833,-59.95,89.31,52,99,7.14,light rain
343,Bandundu,CD,-3.3167,17.3667,82.18,66,65,2.42,broken clouds
344,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,90.25,50,72,2.77,broken clouds
345,Sabha,LY,27.0377,14.4283,83.32,8,40,9.78,scattered clouds
346,De-Kastri,RU,51.4667,140.7833,20.95,76,20,4.18,few clouds
347,Leh,IN,34.1667,77.5833,37.09,58,100,5.1,overcast clouds
348,Chicla,PE,-11.705,-76.2686,52.11,57,98,1.39,overcast clouds
