City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Bachaquero,VE,2021-04-03 02:49:37,9.9694,-71.1494,79.72,79,83,4.43
132,Non Sang,TH,2021-04-03 02:49:37,16.8687,102.5664,90.0,62,18,2.3
133,Moron,AR,2021-04-03 02:46:30,-34.6534,-58.6198,70.0,85,0,1.99
134,Port Elizabeth,ZA,2021-04-03 02:42:24,-33.918,25.5701,53.6,87,20,5.75
135,Socuellamos,ES,2021-04-03 02:49:37,39.2858,-2.7921,48.0,87,17,7.31
136,Lake Havasu City,US,2021-04-03 02:46:37,34.4839,-114.3224,86.0,10,1,1.79
137,Jacareacanga,BR,2021-04-03 02:49:37,-6.2222,-57.7528,73.18,97,75,2.04
138,San Patricio,US,2021-04-03 02:42:37,28.017,-97.5169,62.01,67,40,8.05
139,Faya,SA,2021-04-03 02:43:04,18.3851,42.4509,59.0,67,0,2.08
140,Terrace,CA,2021-04-03 02:49:38,54.5163,-128.6035,35.6,100,90,8.05
141,Danielskuil,ZA,2021-04-03 02:49:38,-28.1887,23.5395,60.82,24,1,4.79
142,Nome,US,2021-04-03 02:42:59,64.5011,-165.4064,19.4,68,90,9.22
143,Hami,CN,2021-04-03 02:49:23,42.8,93.45,54.75,12,2,6.49
144,Davila,PH,2021-04-03 02:49:38,18.4726,120.5763,86.0,74,20,9.22
145,Agadez,NE,2021-04-03 02:49:39,19.75,10.25,65.66,15,0,7.99
146,Sao Miguel Do Araguaia,BR,2021-04-03 02:43:56,-13.275,-50.1628,70.75,84,100,4.47
147,Kahului,US,2021-04-03 02:42:41,20.8947,-156.47,80.6,61,40,16.11
148,Saldanha,ZA,2021-04-03 02:43:21,-33.0117,17.9442,57.2,77,100,4.61
149,Talnakh,RU,2021-04-03 02:43:26,69.4865,88.3972,-7.69,80,12,6.82
150,Faanui,PF,2021-04-03 02:42:19,-16.4833,-151.75,82.29,68,5,2.01
151,Probolinggo,ID,2021-04-03 02:49:39,-7.7543,113.2159,87.8,70,20,8.05
152,Nouadhibou,MR,2021-04-03 02:42:28,20.931,-17.0347,66.2,82,0,16.11
153,Airai,TL,2021-04-03 02:43:40,-8.9266,125.4092,68.18,79,100,4.25
154,Jasper,US,2021-04-03 02:46:14,37.2001,-94.3502,55.4,35,1,11.5
155,Asifabad,IN,2021-04-03 02:49:39,19.3667,79.2833,92.12,10,5,3.62
156,Hasaki,JP,2021-04-03 02:39:12,35.7333,140.8333,66.2,52,75,6.91
157,Tuktoyaktuk,CA,2021-04-03 02:43:03,69.4541,-133.0374,-11.2,70,75,4.61
158,San Cristobal,VE,2021-04-03 02:43:02,7.7669,-72.225,78.8,69,75,2.3
159,Sitka,US,2021-04-03 02:42:51,57.0531,-135.33,33.8,100,90,4.61
160,Hobyo,SO,2021-04-03 02:43:20,5.3505,48.5268,81.5,77,44,6.98
161,Avarua,CK,2021-04-03 02:42:32,-21.2078,-159.775,84.2,74,20,13.8
162,Stornoway,GB,2021-04-03 02:43:29,58.2093,-6.3865,45.0,76,90,4.61
163,Atuona,PF,2021-04-03 02:42:30,-9.8,-139.0333,80.71,80,52,15.41
164,Briceni,MD,2021-04-03 02:49:40,48.3572,27.7036,30.0,91,37,4.27
165,Vila Franca Do Campo,PT,2021-04-03 02:49:40,37.7167,-25.4333,60.8,94,40,18.41
166,Toyooka,JP,2021-04-03 02:49:40,35.5333,134.8333,71.6,46,40,12.66
167,Eyl,SO,2021-04-03 02:49:41,7.9803,49.8164,77.36,76,15,3.78
168,Clyde River,CA,2021-04-03 02:44:18,70.4692,-68.5914,-20.2,76,1,5.75
169,Fougamou,GA,2021-04-03 02:49:41,-1.2154,10.5838,72.68,99,100,0.89
170,Sabang,ID,2021-04-03 02:49:41,5.8933,95.3214,83.35,72,63,13.67
171,Garowe,SO,2021-04-03 02:49:41,8.4054,48.4845,71.83,67,3,7.38
172,Dubti,ET,2021-04-03 02:49:42,11.7361,41.0853,77.68,64,1,10.92
173,Emba,KZ,2021-04-03 02:49:42,48.8264,58.1442,35.1,91,98,22.35
174,Viedma,AR,2021-04-03 02:49:42,-40.8135,-62.9967,67.96,51,94,15.97
175,Howard Springs,AU,2021-04-03 02:49:42,-12.497,131.047,87.8,40,0,18.41
176,Tilichiki,RU,2021-04-03 02:49:43,60.4667,166.1,16.47,71,93,14.05
177,Cukai,MY,2021-04-03 02:47:20,4.25,103.4167,82.4,89,40,3.74
178,Aripuana,BR,2021-04-03 02:49:43,-9.1667,-60.6333,71.44,95,96,2.15
179,Marzuq,YE,2021-04-03 02:44:23,14.4,46.4667,66.11,26,5,2.91
180,Topeka,US,2021-04-03 02:49:43,39.0483,-95.678,60.8,31,75,13.8
181,Mityana,UG,2021-04-03 02:49:43,0.4175,32.0228,68.0,94,20,3.44
182,Naze,JP,2021-04-03 02:44:08,28.3667,129.4833,71.6,94,75,16.11
183,Waipawa,NZ,2021-04-03 02:49:44,-41.4122,175.5153,62.6,48,47,19.57
184,Pospelikha,RU,2021-04-03 02:49:44,51.95,81.7667,25.79,85,86,9.71
185,Meulaboh,ID,2021-04-03 02:43:31,4.1363,96.1285,79.93,77,99,3.74
186,Khasan,RU,2021-04-03 02:49:44,42.4308,130.6434,48.42,69,100,10.04
187,Paragominas,BR,2021-04-03 02:49:44,-2.9667,-47.4833,71.31,94,93,2.35
188,Roma,US,2021-04-03 02:45:37,43.2128,-75.4557,28.4,46,1,3.44
189,Gamba,GA,2021-04-03 02:49:45,-2.65,10.0,77.31,87,100,3.49
190,Surgut,RU,2021-04-03 02:49:45,61.25,73.4167,33.8,100,75,11.18
191,Channel-Port Aux Basques,CA,2021-04-03 02:49:45,47.5702,-59.1367,37.31,95,100,25.05
192,Ponta Do Sol,PT,2021-04-03 02:42:59,32.6667,-17.1,57.99,62,10,1.01
193,Nalut,LY,2021-04-03 02:49:45,30.3333,10.85,64.8,16,18,10.29
194,Wausau,US,2021-04-03 02:47:13,44.9591,-89.6301,44.6,33,1,8.05
195,Labuhan,ID,2021-04-03 02:49:46,-6.8844,112.2051,85.28,69,65,5.7
196,Bibbiena,IT,2021-04-03 02:49:46,43.6965,11.8135,51.01,91,2,3.94
197,Weligama,LK,2021-04-03 02:45:27,5.9667,80.4167,84.25,72,86,10.96
198,Alihe,CN,2021-04-03 02:49:46,50.5667,123.7167,32.83,36,0,15.52
199,Benghazi,LY,2021-04-03 02:49:46,32.1167,20.0667,59.72,43,0,11.43
200,San Carlos De Bariloche,AR,2021-04-03 02:49:47,-41.1456,-71.3082,46.4,76,0,4.61
201,Kaitangata,NZ,2021-04-03 02:42:57,-46.2817,169.8464,55.99,61,100,8.01
202,Lazaro Cardenas,MX,2021-04-03 02:49:47,17.9583,-102.2,76.51,74,1,2.33
203,Gondanglegi,ID,2021-04-03 02:49:47,-7.7479,112.0132,86.94,65,43,7.38
204,Kruisfontein,ZA,2021-04-03 02:43:19,-34.0033,24.7314,54.0,94,2,1.01
205,Necochea,AR,2021-04-03 02:41:09,-38.5473,-58.7368,61.0,92,5,7.0
206,Vila Do Maio,CV,2021-04-03 02:49:47,15.1333,-23.2167,77.0,31,0,21.85
207,Moa,CU,2021-04-03 02:49:48,20.6569,-74.9403,74.34,86,88,6.11
208,Rumford,US,2021-04-03 02:49:48,44.5537,-70.5509,25.0,70,9,3.31
209,Bandar-E Anzali,IR,2021-04-03 02:43:51,37.4727,49.4622,50.0,100,75,4.61
210,Nizhniy Kuranakh,RU,2021-04-03 02:49:48,58.8353,125.4869,15.46,67,100,5.66
211,Vila Velha,BR,2021-04-03 02:43:50,-20.3297,-40.2925,73.4,88,90,5.75
212,Fort-Shevchenko,KZ,2021-04-03 02:49:48,44.5086,50.263,43.84,83,11,17.67
213,Nabire,ID,2021-04-03 02:44:19,-3.3667,135.4833,78.51,90,100,2.55
214,Eureka,US,2021-04-03 02:42:38,40.8021,-124.1637,51.01,82,99,1.01
215,Mangai,CD,2021-04-03 02:42:52,-4.05,19.5333,68.9,98,100,0.36
216,Moose Factory,CA,2021-04-03 02:43:39,51.2585,-80.6094,23.0,63,1,6.91
217,Nemencine,LT,2021-04-03 02:49:49,54.85,25.4833,36.0,93,75,4.61
218,Fruitvale,US,2021-04-03 02:49:49,39.0817,-108.4968,64.4,15,1,5.75
219,Fukue,JP,2021-04-03 02:49:49,32.6881,128.8419,68.0,83,75,12.66
220,Phangnga,TH,2021-04-03 02:49:50,8.4509,98.5298,87.01,79,40,2.3
221,Larsnes,NO,2021-04-03 02:49:50,62.2028,5.5773,37.99,74,91,7.0
222,Coahuayana,MX,2021-04-03 02:45:18,18.7333,-103.6833,73.72,78,16,0.94
223,Jiangyou,CN,2021-04-03 02:49:50,31.7667,104.7167,61.68,64,86,4.68
224,Dedza,MW,2021-04-03 02:49:50,-14.3779,34.3332,53.08,90,42,0.4
225,Darhan,MN,2021-04-03 02:49:51,49.4867,105.9228,43.43,29,0,12.71
226,Huangchuan,CN,2021-04-03 02:49:51,32.1272,115.0394,52.29,85,100,9.69
227,Port Hedland,AU,2021-04-03 02:43:55,-20.3167,118.5667,96.8,21,19,11.5
228,Mogwase,ZA,2021-04-03 02:49:51,-25.185,27.2665,66.25,47,4,3.6
229,Shuangyang,CN,2021-04-03 02:49:51,43.5242,125.6736,45.0,19,0,11.18
230,Nur,PL,2021-04-03 02:49:52,52.6683,22.3221,39.0,80,100,5.99
231,Iquira,CO,2021-04-03 02:49:52,2.6487,-75.6346,67.1,90,100,3.33
232,Saint Anthony,US,2021-04-03 02:49:52,45.0205,-93.218,55.99,30,1,9.22
233,Xuddur,SO,2021-04-03 02:43:34,4.1213,43.8894,73.49,81,61,7.27
234,Kalianget,ID,2021-04-03 02:42:44,-7.05,113.9333,85.21,71,32,8.5
235,Ancud,CL,2021-04-03 02:42:37,-41.8697,-73.8203,53.01,90,30,5.01
236,Husavik,IS,2021-04-03 02:49:52,66.0449,-17.3389,42.8,61,0,16.11
237,Santa Isabel,BR,2021-04-03 02:49:53,-23.3156,-46.2214,66.2,82,75,4.61
